name,size,ncalls,nsperop,n,bperop,allocs
BenchmarkStream,640,3,407687.000000,3012,15736,1923
BenchmarkStream,655360,7,467345656.000000,3,13108026,1638407
BenchmarkStream,10240,11,6969617.000000,180,205945,25611
BenchmarkStream,320,13,213868.000000,5524,7737,813
BenchmarkStream,81920,15,58595407.000000,19,1639938,204815
BenchmarkSlice,163840,9,18098135.000000,61,17177534,409641
BenchmarkStream,327680,5,211660847.000000,5,6554249,819205
BenchmarkSlice,5120,5,335801.000000,3748,428841,12822
BenchmarkSlice,10,13,1676.000000,707785,1280,45
BenchmarkStream,20,17,21707.000000,60924,2121,67
BenchmarkStream,20480,17,15586803.000000,90,411322,51217
BenchmarkSlice,640,7,40831.000000,29090,55272,1620
BenchmarkSlice,20480,13,1798167.000000,670,2055216,51236
BenchmarkSlice,327680,17,33858167.000000,32,34258127,819252
BenchmarkStream,320,7,233534.000000,5176,7160,807
BenchmarkStream,5120,9,3421890.000000,349,103352,12809
BenchmarkStream,10240,15,7326078.000000,163,206329,25615
BenchmarkStream,327680,15,234433243.000000,5,6555289,819216
BenchmarkStream,81920,17,61786770.000000,18,1640153,204817
BenchmarkSlice,10,17,1872.000000,594638,1408,49
BenchmarkSlice,2560,1,146491.000000,8137,143416,7683
BenchmarkSlice,80,9,6150.000000,199060,7144,219
BenchmarkSlice,2560,13,160912.000000,7188,207272,6428
BenchmarkSlice,80,17,7088.000000,174544,7400,227
BenchmarkStream,20480,5,13354553.000000,80,410170,51205
BenchmarkSlice,10,3,1279.000000,798238,1000,40
BenchmarkSlice,20,3,2105.000000,548667,1896,71
BenchmarkSlice,1280,3,87040.000000,13827,114792,3857
BenchmarkSlice,5120,7,329716.000000,3424,428905,12824
BenchmarkStream,327680,9,217931623.000000,5,6554630,819209
BenchmarkStream,10,11,12356.000000,96116,1344,36
BenchmarkStream,40,17,36032.000000,33392,2521,117
BenchmarkSlice,20480,5,1667446.000000,790,2054959,51228
BenchmarkStream,163840,3,101053556.000000,10,3932556,491523
BenchmarkStream,163840,11,107393350.000000,10,3277964,409611
BenchmarkStream,10,15,14133.000000,85154,1729,40
BenchmarkStream,163840,5,106685605.000000,10,3277390,409605
BenchmarkStream,10240,17,6618771.000000,180,206525,25617
BenchmarkSlice,40960,15,3566394.000000,334,4234362,102441
BenchmarkSlice,640,17,42080.000000,30013,55592,1630
BenchmarkStream,40,1,22031.000000,48088,1144,121
BenchmarkStream,20,7,17868.000000,67002,1160,57
BenchmarkSlice,1280,5,79448.000000,13528,109736,3219
BenchmarkSlice,640,15,41047.000000,29155,55528,1628
BenchmarkSlice,320,17,22417.000000,50734,28584,829
BenchmarkSlice,40960,19,3908307.000000,309,4234486,102445
BenchmarkStream,320,3,201804.000000,5107,8056,963
BenchmarkStream,320,15,237221.000000,5042,7929,815
BenchmarkSlice,160,7,11831.000000,112203,14184,418
BenchmarkSlice,20,11,2277.000000,529788,2072,69
BenchmarkSlice,163840,11,17530404.000000,63,17177601,409643
BenchmarkStream,320,1,135549.000000,8793,7864,961
BenchmarkStream,40,11,34197.000000,34926,1944,111
BenchmarkStream,1280,13,842610.000000,1437,26940,3213
BenchmarkSlice,2560,5,158281.000000,7731,207016,6420
BenchmarkSlice,327680,5,33525214.000000,31,34257740,819240
BenchmarkSlice,10,9,1560.000000,889886,1152,41
BenchmarkSlice,640,13,40807.000000,27873,55464,1626
BenchmarkStream,1280,1,553122.000000,2214,30904,3841
BenchmarkStream,2560,3,1646568.000000,726,61821,7683
BenchmarkStream,80,11,63017.000000,19062,2745,211
BenchmarkStream,1280,11,835965.000000,1435,26744,3211
BenchmarkStream,5120,15,3663561.000000,325,103937,12815
BenchmarkSlice,80,1,4903.000000,259165,4536,243
BenchmarkSlice,20480,1,1232967.000000,933,1146940,61443
BenchmarkSlice,80,15,6508.000000,185128,7336,225
BenchmarkStream,80,1,40022.000000,29238,2104,241
BenchmarkStream,160,5,109833.000000,10000,3768,405
BenchmarkStream,81920,13,53109433.000000,21,1639775,204813
BenchmarkSlice,327680,3,36003312.000000,31,35568392,983078
BenchmarkSlice,10240,11,696825.000000,1690,965611,25631
BenchmarkSlice,163840,15,17923133.000000,68,17177731,409647
BenchmarkSlice,160,17,12843.000000,93897,14504,428
BenchmarkStream,20,3,15415.000000,85839,856,63
BenchmarkSlice,1280,7,82079.000000,15462,109800,3221
BenchmarkSlice,40,17,4040.000000,301341,3976,126
BenchmarkSlice,40,19,4074.000000,293869,4040,128
BenchmarkStream,20480,7,14654889.000000,82,410363,51207
BenchmarkStream,40,9,29218.000000,36232,1752,109
BenchmarkStream,640,13,421428.000000,2842,14137,1613
BenchmarkSlice,655360,7,71215652.000000,16,68107146,1638445
BenchmarkSlice,1280,17,83788.000000,14002,110120,3231
BenchmarkSlice,655360,17,68874481.000000,19,68107485,1638455
BenchmarkStream,327680,11,243658035.000000,5,6554838,819211
BenchmarkStream,80,17,64013.000000,18840,3322,217
BenchmarkSlice,10240,9,689294.000000,2113,965547,25629
BenchmarkSlice,327680,9,35842073.000000,32,34257867,819244
BenchmarkSlice,20,13,2593.000000,454861,2136,71
BenchmarkSlice,20,19,2877.000000,388174,2328,77
BenchmarkStream,20,9,18795.000000,64196,1352,59
BenchmarkStream,10240,9,6874485.000000,175,205753,25609
BenchmarkStream,20,15,21567.000000,55894,1929,65
BenchmarkSlice,40,1,2575.000000,441388,2296,123
BenchmarkSlice,320,5,20384.000000,59077,28200,817
BenchmarkSlice,10,19,2030.000000,619081,1472,51
BenchmarkSlice,2560,19,166008.000000,7222,207464,6434
BenchmarkSlice,10240,5,668063.000000,1689,965419,25625
BenchmarkStream,327680,1,136938898.000000,8,7864542,983041
BenchmarkStream,640,5,416263.000000,2788,13368,1605
BenchmarkStream,81920,9,54758348.000000,21,1639363,204809
BenchmarkStream,655360,17,458709311.000000,3,13109530,1638422
BenchmarkSlice,320,1,19725.000000,64698,18488,963
BenchmarkSlice,640,3,47563.000000,25752,57704,1936
BenchmarkSlice,655360,3,73703751.000000,15,70728462,1966121
BenchmarkSlice,40,7,3468.000000,334954,3656,116
BenchmarkSlice,655360,9,68354115.000000,16,68107205,1638447
BenchmarkSlice,163840,19,18304484.000000,62,17177859,409651
BenchmarkStream,163840,17,109430168.000000,10,3278580,409617
BenchmarkSlice,5120,9,327279.000000,3806,428969,12826
BenchmarkSlice,40,15,3832.000000,313507,3912,124
BenchmarkSlice,640,19,52802.000000,23998,55656,1632
BenchmarkSlice,10240,19,688165.000000,1725,965867,25639
BenchmarkStream,2560,5,1775626.000000,674,51769,6405
BenchmarkStream,80,9,57277.000000,21313,2552,209
BenchmarkStream,2560,11,1658158.000000,722,52344,6411
BenchmarkSlice,327680,1,23837505.000000,46,18350188,983043
BenchmarkSlice,10240,13,785452.000000,1549,965675,25633
BenchmarkSlice,163840,17,18185196.000000,57,17177794,409649
BenchmarkSlice,5120,15,324944.000000,3739,429161,12832
BenchmarkStream,20,1,10724.000000,132240,664,61
BenchmarkStream,80,7,61127.000000,19603,2360,207
BenchmarkStream,160,11,121579.000000,10000,4344,411
BenchmarkStream,10240,13,6797246.000000,168,206140,25613
BenchmarkStream,20480,13,14268871.000000,91,410938,51213
BenchmarkStream,320,19,231406.000000,5179,8315,819
BenchmarkSlice,40,11,3917.000000,339453,3784,120
BenchmarkSlice,2560,17,158308.000000,7719,207400,6432
BenchmarkSlice,655360,19,71190355.000000,16,68107536,1638457
BenchmarkSlice,20480,3,1733203.000000,624,2136815,61466
BenchmarkSlice,640,5,43000.000000,30766,55208,1618
BenchmarkSlice,20480,9,1620632.000000,747,2055087,51232
BenchmarkSlice,10,11,1650.000000,716302,1216,43
BenchmarkSlice,80,11,6867.000000,169081,7208,221
BenchmarkStream,10,3,7794.000000,153603,616,33
BenchmarkStream,160,15,122938.000000,9588,4729,415
BenchmarkStream,1280,15,922453.000000,1296,27130,3215
BenchmarkStream,10240,19,6913415.000000,174,206723,25619
BenchmarkStream,40960,5,26395729.000000,44,819771,102405
BenchmarkStream,10,13,13744.000000,86696,1536,38
BenchmarkStream,10,17,13276.000000,90674,1921,42
BenchmarkSlice,1280,1,73631.000000,17368,71736,3843
BenchmarkSlice,327680,13,33777051.000000,37,34258003,819248
BenchmarkSlice,320,19,26318.000000,50280,28648,831
BenchmarkSlice,163840,7,18656309.000000,69,17177473,409639
BenchmarkStream,1280,3,829052.000000,1470,31096,3843
BenchmarkStream,40960,11,27264995.000000,46,820348,102411
BenchmarkStream,20,13,20655.000000,56196,1736,63
BenchmarkStream,40960,13,28050160.000000,40,820545,102413
BenchmarkStream,5120,19,3550494.000000,337,104333,12819
BenchmarkSlice,81920,1,5962903.000000,204,4587596,245763
BenchmarkSlice,81920,3,9060549.000000,128,8895233,245792
BenchmarkSlice,20480,19,1613390.000000,771,2055407,51242
BenchmarkStream,2560,1,1038605.000000,1092,61624,7681
BenchmarkStream,80,13,58627.000000,19297,2937,213
BenchmarkSlice,655360,1,45619256.000000,26,36700235,1966083
BenchmarkSlice,20,9,2416.000000,497844,2008,67
BenchmarkSlice,160,11,11209.000000,105664,14312,422
BenchmarkSlice,640,11,40217.000000,32162,55400,1624
BenchmarkSlice,327680,15,34742673.000000,32,34258052,819250
BenchmarkStream,81920,1,36297121.000000,32,1966273,245761
BenchmarkStream,20480,3,13083228.000000,82,491898,61443
BenchmarkStream,163840,7,113308793.000000,9,3277648,409607
BenchmarkStream,655360,11,485727774.000000,3,13108736,1638414
BenchmarkStream,10,19,15455.000000,76327,2113,44
BenchmarkStream,655360,19,452527184.000000,3,13109482,1638422
BenchmarkSlice,40960,11,3615296.000000,338,4234231,102437
BenchmarkStream,160,7,119023.000000,10000,3960,407
BenchmarkStream,40,19,36978.000000,32368,2713,119
BenchmarkStream,160,19,120596.000000,10000,5114,419
BenchmarkSlice,20,5,2054.000000,588032,1880,63
BenchmarkSlice,160,5,11180.000000,112147,14120,416
BenchmarkSlice,81920,5,8486048.000000,139,8567615,204834
BenchmarkStream,2560,7,1642875.000000,741,51960,6407
BenchmarkStream,20,11,19663.000000,61368,1544,61
BenchmarkSlice,10240,3,758067.000000,1371,1006315,30743
BenchmarkSlice,2560,7,164657.000000,7464,207080,6422
BenchmarkStream,10240,1,4789418.000000,266,245945,30721
BenchmarkStream,1280,17,849837.000000,1479,27324,3217
BenchmarkSlice,20480,7,1710520.000000,778,2055023,51230
BenchmarkSlice,160,19,13248.000000,102364,14568,430
BenchmarkStream,640,7,397382.000000,2598,13560,1607
BenchmarkStream,160,9,109221.000000,10000,4152,409
BenchmarkStream,80,15,65115.000000,18390,3129,215
BenchmarkStream,40960,15,27935880.000000,43,820733,102415
BenchmarkStream,640,17,436762.000000,2726,14520,1617
BenchmarkSlice,160,3,12327.000000,94987,14696,494
BenchmarkStream,40960,3,26211852.000000,43,983431,122883
BenchmarkStream,81920,3,52260177.000000,21,1966466,245763
BenchmarkStream,10240,5,7121910.000000,168,205372,25605
BenchmarkStream,1280,9,832344.000000,1491,26552,3209
BenchmarkSlice,163840,1,13242910.000000,82,9175108,491523
BenchmarkSlice,80,13,6925.000000,191480,7272,223
BenchmarkStream,160,3,108422.000000,10000,4217,483
BenchmarkStream,10,5,8549.000000,140606,768,30
BenchmarkStream,5120,5,3541638.000000,337,102969,12805
BenchmarkStream,655360,5,439114682.000000,3,13108106,1638407
BenchmarkStream,5120,7,3240769.000000,370,103160,12807
BenchmarkStream,2560,9,1718514.000000,697,52152,6409
BenchmarkStream,10240,7,7334460.000000,187,205561,25607
BenchmarkSlice,2560,15,165227.000000,7250,207336,6430
BenchmarkStream,655360,13,470343885.000000,3,13109162,1638418
BenchmarkSlice,320,3,22949.000000,53566,29416,975
BenchmarkSlice,160,9,12203.000000,97918,14248,420
BenchmarkSlice,160,15,11684.000000,102010,14440,426
BenchmarkStream,163840,13,105583989.000000,10,3278241,409613
BenchmarkStream,160,17,118309.000000,9944,4921,417
BenchmarkStream,2560,17,1769105.000000,762,52928,6417
BenchmarkStream,163840,19,113356347.000000,9,3278855,409620
BenchmarkSlice,5120,11,341591.000000,3494,429033,12828
BenchmarkStream,160,1,69046.000000,15427,4024,481
BenchmarkStream,80,3,55535.000000,21540,2296,243
BenchmarkStream,81920,11,54717644.000000,20,1639556,204811
BenchmarkSlice,163840,13,17364785.000000,62,17177667,409645
BenchmarkSlice,20480,15,1585381.000000,763,2055280,51238
BenchmarkStream,10,1,4249.000000,280563,424,31
BenchmarkStream,320,5,216839.000000,5560,6969,805
BenchmarkStream,81920,7,52949826.000000,22,1639170,204807
BenchmarkSlice,81920,13,8739074.000000,138,8567874,204842
BenchmarkStream,163840,9,110110126.000000,10,3277774,409609
BenchmarkSlice,640,1,35078.000000,32865,35896,1923
BenchmarkSlice,5120,1,295854.000000,4095,286777,15363
BenchmarkSlice,5120,17,333731.000000,3626,429225,12834
BenchmarkSlice,327680,19,34865323.000000,33,34258183,819254
BenchmarkStream,160,13,110474.000000,10000,4537,413
BenchmarkSlice,20,7,2127.000000,561806,1944,65
BenchmarkSlice,160,13,12292.000000,87502,14376,424
BenchmarkStream,20,19,22752.000000,52822,2313,69
BenchmarkStream,40,5,29477.000000,40788,1368,105
BenchmarkStream,5120,13,3553996.000000,343,103736,12813
BenchmarkStream,320,17,221772.000000,5476,8122,817
BenchmarkSlice,327680,11,34645397.000000,38,34257930,819246
BenchmarkSlice,10240,1,595179.000000,2028,573498,30723
BenchmarkSlice,40,3,3602.000000,359148,3688,132
BenchmarkSlice,80,5,5976.000000,201567,7016,215
BenchmarkSlice,40,9,3861.000000,285316,3720,118
BenchmarkSlice,2560,11,158999.000000,7696,207209,6426
BenchmarkStream,655360,9,461435403.000000,3,13108245,1638409
BenchmarkStream,40,15,36271.000000,33136,2329,115
BenchmarkStream,5120,17,3381124.000000,346,104120,12817
BenchmarkSlice,40960,7,3580332.000000,319,4234103,102433
BenchmarkSlice,20480,11,1720766.000000,722,2055151,51234
BenchmarkSlice,81920,15,9140178.000000,134,8567934,204844
BenchmarkStream,40960,9,27480829.000000,43,820158,102409
BenchmarkStream,163840,15,117418284.000000,9,3278369,409615
BenchmarkSlice,40960,3,3747012.000000,328,4397815,122909
BenchmarkSlice,163840,5,17604595.000000,60,17177436,409637
BenchmarkSlice,655360,13,68414277.000000,15,68107337,1638451
BenchmarkStream,655360,3,407895181.000000,3,15729114,1966083
BenchmarkStream,320,9,213450.000000,5166,7352,809
BenchmarkStream,320,11,235517.000000,5086,7545,811
BenchmarkSlice,1280,15,85652.000000,14866,110056,3229
BenchmarkStream,327680,3,200785872.000000,6,7864738,983043
BenchmarkStream,80,5,56339.000000,21391,2168,205
BenchmarkStream,1280,7,863355.000000,1578,26361,3207
BenchmarkStream,10,9,11399.000000,105372,1152,34
BenchmarkStream,20480,15,13257320.000000,80,411130,51215
BenchmarkStream,1280,19,894623.000000,1356,27516,3219
BenchmarkSlice,40960,5,4011368.000000,298,4234037,102431
BenchmarkSlice,20,17,2649.000000,457299,2264,75
BenchmarkSlice,80,3,6695.000000,160137,7272,253
BenchmarkSlice,10,5,1314.000000,885268,1024,37
BenchmarkSlice,80,7,6246.000000,194298,7080,217
BenchmarkSlice,1280,11,87578.000000,13508,109928,3225
BenchmarkSlice,320,15,21661.000000,55092,28520,827
BenchmarkStream,40960,1,17095353.000000,68,983229,122881
BenchmarkStream,640,15,468606.000000,2590,14328,1615
BenchmarkSlice,40960,1,2982546.000000,391,2293828,122883
BenchmarkSlice,655360,5,69602760.000000,15,68107083,1638443
BenchmarkSlice,2560,9,162930.000000,6897,207145,6424
BenchmarkSlice,320,11,23444.000000,56595,28392,823
BenchmarkSlice,5120,19,336478.000000,3602,429289,12836
BenchmarkStream,40,7,32247.000000,37178,1560,107
BenchmarkSlice,20,1,1336.000000,932348,1176,63
BenchmarkSlice,640,9,40348.000000,30008,55336,1622
BenchmarkSlice,1280,9,83598.000000,15158,109864,3223
BenchmarkSlice,5120,13,330754.000000,3996,429097,12830
BenchmarkSlice,81920,19,8694048.000000,130,8568062,204848
BenchmarkStream,40,3,28781.000000,41608,1336,123
BenchmarkStream,20,5,15090.000000,80298,968,55
BenchmarkSlice,320,9,24304.000000,47242,28328,821
BenchmarkSlice,40960,9,3639953.000000,326,4234169,102435
BenchmarkSlice,1280,19,88952.000000,12832,110184,3233
BenchmarkStream,5120,1,2124989.000000,537,123064,15361
BenchmarkStream,5120,3,3460444.000000,366,123261,15363
BenchmarkStream,40960,17,31411053.000000,37,820927,102417
BenchmarkSlice,10240,17,700207.000000,1821,965803,25637
BenchmarkStream,640,1,267844.000000,4548,15544,1921
BenchmarkStream,81920,19,56598209.000000,20,1640351,204819
BenchmarkSlice,2560,3,173526.000000,6996,217192,7698
BenchmarkSlice,40960,13,3764259.000000,328,4234294,102439
BenchmarkStream,2560,13,1775045.000000,631,52536,6413
BenchmarkStream,2560,19,1784803.000000,672,53116,6419
BenchmarkStream,20480,11,13106554.000000,81,410753,51211
BenchmarkStream,40,13,32365.000000,37987,2137,113
BenchmarkSlice,10,15,1805.000000,593864,1344,47
BenchmarkStream,10,7,10555.000000,114560,960,32
BenchmarkStream,20480,19,13694726.000000,86,411518,51219
BenchmarkSlice,40,5,3504.000000,385294,3592,114
BenchmarkSlice,10240,7,677290.000000,1765,965483,25627
BenchmarkSlice,655360,11,68887842.000000,15,68107275,1638449
BenchmarkSlice,1280,13,81278.000000,15061,109992,3227
BenchmarkStream,1280,5,824593.000000,1485,26169,3205
BenchmarkStream,81920,5,52836754.000000,21,1638978,204805
BenchmarkStream,40960,7,29260797.000000,40,819972,102407
BenchmarkStream,20480,9,13705332.000000,87,410554,51209
BenchmarkStream,327680,17,214052647.000000,5,6555353,819217
BenchmarkSlice,81920,7,8790501.000000,134,8567681,204836
BenchmarkSlice,40,13,3600.000000,322071,3848,122
BenchmarkStream,20480,1,8474253.000000,138,491706,61441
BenchmarkStream,655360,1,264026083.000000,4,15728900,1966081
BenchmarkStream,327680,7,210401594.000000,5,6554403,819207
BenchmarkStream,640,9,406500.000000,2980,13752,1609
BenchmarkStream,5120,11,3323590.000000,362,103546,12811
BenchmarkStream,327680,13,218420343.000000,5,6555081,819214
BenchmarkSlice,5120,3,409776.000000,3303,449257,15380
BenchmarkSlice,20,15,2568.000000,512295,2200,73
BenchmarkSlice,10240,15,681047.000000,1737,965739,25635
BenchmarkSlice,80,19,6845.000000,174274,7464,229
BenchmarkStream,10240,3,7282188.000000,164,246146,30723
BenchmarkStream,2560,15,1839328.000000,651,52732,6415
BenchmarkStream,40960,19,28044393.000000,43,821139,102419
BenchmarkSlice,10,1,774.000000,1483227,616,33
BenchmarkSlice,160,1,9354.000000,126272,9272,483
BenchmarkSlice,20480,17,1716650.000000,775,2055344,51240
BenchmarkSlice,81920,17,8922908.000000,134,8567999,204846
BenchmarkStream,163840,1,64187134.000000,18,3932362,491521
BenchmarkStream,655360,15,445625189.000000,3,13109338,1638420
BenchmarkStream,327680,19,225800541.000000,5,6555542,819219
BenchmarkSlice,163840,3,18743905.000000,55,17832713,491555
BenchmarkSlice,81920,11,8716482.000000,138,8567808,204840
BenchmarkSlice,40960,17,3889813.000000,306,4234421,102443
BenchmarkSlice,10,7,1394.000000,906867,1088,39
BenchmarkSlice,320,13,22620.000000,52814,28456,825
BenchmarkStream,640,11,420496.000000,2854,13945,1611
BenchmarkSlice,320,7,21718.000000,55162,28264,819
BenchmarkSlice,327680,7,34623930.000000,34,34257806,819242
BenchmarkSlice,655360,15,71957787.000000,15,68107406,1638453
BenchmarkStream,80,19,65159.000000,18478,3513,219
BenchmarkStream,640,19,454103.000000,2646,14715,1619
BenchmarkSlice,81920,9,8798094.000000,136,8567745,204838
